학부,제목,링크,내용,작성일
지능실감미디어융합전공,(특강) 인공지능 기반 음악창작 전문가 특강(6/8),https://media.jnu.ac.kr/bbs/media/2762/848073/artclView.do,"AI융합대학 지능실감미디어융합전공과 소프트웨어중심대학사업단은 최근 주목을 받고 있는 인공지능 기반 음악창작 전문가를 초청하여 세미나를 진행합니다. 1. 일시: 2023년 6월 8일 10시 30분2. 강의장소: AI융합대학 210호3. 연사: 안창욱 교수(광주과학기술원)4. 주제: 원조 AI작곡가 '이봄(EvoM)'이야기-우리나라 최초 원조 AI작곡가 '이봄(EvoM)의 탄생, 동작원리 및 세상과 소통이야기-다가오는 AI시대에 인공지능과 함께 공존하기 위한 방향과 미래 전망",2023-06-02 15:17:43.0
지능실감미디어융합전공,(특강) 디지털 콘텐츠 제작엔진의 현재와 미래,https://media.jnu.ac.kr/bbs/media/2762/846864/artclView.do,AI융합대학 지능실감미디어융합전공과 소프트웨어중심대학사업단은 최근 주목을 받고 있는 디지털 콘텐츠와 제작엔진에 대한 전문가를 초청하여 세미나를 진행합니다. 1. 일시: 2023년 5월 25일 10시 30분2. 강의장소: Zoom 온라인 (https://jnu-ac-kr.zoom.us/j/82431884059)3. 연사: 오석희 문화기술PD -한국콘텐츠진흥원 문화체육관광기술진흥센터4. 주제: 디지털 콘텐츠 제작엔진의 현재와 미래-디지털 콘텐츠와 게임엔진 동향-국내외 게임 및 문화콘텐츠 동향-게임과 디지털 콘텐츠의 미래,2023-05-18 14:01:27.0
지능실감미디어융합전공,2023년 상반기 도전장학(미래) 선발 계획,https://media.jnu.ac.kr/bbs/media/2762/846519/artclView.do,"「2023년 상반기 도전장학(미래) 선발 계획」을 다음과 같이 공고하오니 많은 신청 바랍니다.1. 장학생 선발가. 자격: 2023년 8월 학사과정 졸업예정자로서 2023학년도 후기 우리 대학교 일반대학원에 진학하려는 자 (학.석사연계과정생도 지원 가능)※ 직전학기 성적 평균평점 2.5이상 (전남대학교 장학규정 제3조(장학생의 자격))나. 장학금: 인문사회계열 1,700천원, 자연예체능계열 2,300천원※ 단, 지원액은 가용예산 범위에 따라 다소 변동 가능함다. 제출서류 지원신청서 [붙임 1]라. 제출기간 5월 23일(수)까 학과사무",2023-05-16 09:52:03.0
지능실감미디어융합전공,2023 언어교육원 재학생 참여 프로모션 개최,https://media.jnu.ac.kr/bbs/media/2762/846516/artclView.do,"우리 대학 재학생들의 영어 학습 의욕 고취를 위해 언어교육원에서 2023학년도 재학생 참여 프로모션 행사를 개최합니다.많은 관심 바랍니다.가. 시간 : 2023. 05. 31.(수) 11:00~17:00나. 대상 : 전남대학교 학생 전체다. 장소 : 백도 앞 잔디밭라. 주요 프로그램 - 포토부스 ""인생 네 컷"" 운영 - ""포춘 쿠키"" 뽑기 이벤트 - (무료) 원어민 강사 영어회화 레벨테스트",2023-05-16 09:47:58.0
지능실감미디어융합전공,삼성 청년 SW 아카데미」10기 교육생 모집홍보,https://media.jnu.ac.kr/bbs/media/2762/844525/artclView.do,"삼성 청년 SW 아카데미(Samsung Software Academy For Youth, SSAFY)는 삼성의 SW 교육 경험과 고용노동부의 취업지원 노하우를 바탕으로,취업 준비생에게 SW 역량 향상 교육 및 다양한 취업지원 서비스를 제공하여 취업에 성공하도록 돕는 프로그램입니다.SSAFY 에서 10기 교육생을 모집합니다.★ 모집기간 : 2023년 4월 24일(월) ~ 5월 8일(월) ★",2023-04-21 17:56:59.0
지능실감미디어융합전공,[공지사항]느티나무 장학금 신설 안내,https://media.jnu.ac.kr/bbs/media/2762/843863/artclView.do,"사회 환경변화에 유연하게 대처하고 대학 발전에 기여하는 핵심리더 양성을 위한 『느티나무 장학금』을 신설하였음을 알려드립니다.1. 장학내용가. 장학명칭: 느티나무 장학금나. 지원기준1) 대상: 학부 재적생으로 다음 조건에 해당하는 자(소급적용 불가)- 국가고시, 공인자격증 등 해당 시험에 1차 합격한 자- 각종 대외활동 등을 통해 당선 또는 수상한 자2) 지원제한: 수업연한 초과자 및 근신 이상의 징계처분을 받은 자3) 수혜횟수 제한: 동일 자격에 대해서는 1회만 지원 다. 지원 종류 및 금액   구분 명칭 조건 장학금액   국가고시",2023-04-13 09:23:18.0
지능실감미디어융합전공,2023년 양자 ICT 인턴십 프로그램 2기 인턴 사원 공개모집,https://media.jnu.ac.kr/bbs/media/2762/837292/artclView.do,,2023-01-30 14:20:49.0
지능실감미디어융합전공,정부 보증 인턴십  2023학년도 국내 ICT 학점연계 인턴십 학생 접수 안내,https://media.jnu.ac.kr/bbs/media/2762/837162/artclView.do,"정부 보증 인턴십  2023학년도 국내 ICT 학점연계 인턴십 학생 접수를 아래와 같이 안내하오니 많은 지원 바랍니다.학생접수기간: 2023. 1. 27. ~ 2. 8.학생신청자격: 4학기 이상 이수한 재학생 / it관련 부, 복수, 연계 및 주전공 중 택 1대학승인기간: 2023. 2. 8.~(제가 일괄승인예정) * 외국인 학생은 참여불가인턴십선발기간: 2023. 2. 13. ~ 2. 17. 예정인턴십참여기간: 23학년도 1학기인턴십참여학점: 현장실습 6(국내-15주/12학점)참여학생 지원금: 2,010,580원/월 이상(*23",2023-01-27 15:13:08.0
지능실감미디어융합전공,[의료 AI 기초/응용 및 심화/특강] 교육프로그램 신청 안내,https://media.jnu.ac.kr/bbs/media/2762/837159/artclView.do,"AI융합대학과 한국스마트헬스케어 협회가 운영하는 의료 AI 교육프로그램에 관심있는 학생은 아래 링크를 통해 교육프로그램 참여를 신청하시기 바랍니다.오프라인 과정 (AI융합대학 401호 강의실)- AI 헬스케어 특강 1일 6시간,  2월 8일(수)- AI 헬스케어 기초과정 2일 16시간,  2월 6일(월) ~7일(화)- AI 헬스케어 응용/심화과정 4일 32시간,  2월 14일(화)~17일(금) * 참여자 개인 노트북 지참신청 방법https://k-health.gosha.or.kr/회원가입  -  K-Health 교육신청",2023-01-27 15:08:07.0
지능실감미디어융합전공,[의료 AI 기초/응용 및 심화/특강] 교육프로그램 수요조사 실시,https://media.jnu.ac.kr/bbs/media/2762/836809/artclView.do,"한국스마트헬스케어 협회 운영 - (주)딥노이드 교육 담당오프라인 과정- AI 헬스케어 특강 1일 6시간,  2월 8일(수)- AI 헬스케어 기초과정 2일 16시간,  2월 6일(월) ~7일(화)- AI 헬스케어 응용/심화과정 4일 32시간,  2월 14일(화)~17일(금)참여자 개인 노트북 지참수요조사 URL https://forms.gle/UTyLHCvjYPcggcg66",2023-01-18 17:00:09.0
지능실감미디어융합전공,2023학년도 지능실감미디어융합전공 주·복수전공 선발 관련 안내,https://media.jnu.ac.kr/bbs/media/2762/836719/artclView.do,2023학년도 1학기 AI융합대학 지능실감미디어융합전공융합주전공  융합복수전공 선발은 서류 심사만 실시합니다.(면접 심사 없음),2023-01-17 09:40:44.0
지능실감미디어융합전공,2023학년도 제1학기 등록 안내,https://media.jnu.ac.kr/bbs/media/2762/835520/artclView.do,"2023학년도 제1학기 등록 공고     2023학년도 제1학기 등록금 납부를 다음과 같이 공고하오니 등록에 차질 없으시기 바랍니다.   1. 기 간: 2023. 2. 20.(월) ~ 2. 23.(목) 16:00까지 [4일간]2. 장 소: 광주은행, 농협(지역농협 포함), 국민은행, 신한은행 전국 본 지점3. 등록금 분할납부 방법 가. 신청대상: 경제사정으로 정해진 기간내에 등록금 전액 납부가 어려워 분할납부하고자 하는 학생 [신청제외자 : 학부 및 대학원 신입생, 전액 장학금 수혜자, 미등록 휴학예정자, 수업연한초과자] 나. 신청",2022-12-30 17:36:10.0
지능실감미디어융합전공,[행사안내] 온라인 게임(MMORPG) 기획 및 개발 프로세스 소개,https://media.jnu.ac.kr/bbs/media/2762/833054/artclView.do,"AI융합대학 지능실감미디어융합전공과 소프트웨어중심대학사업단은 최근 주목을 받고 있는 메타버스에 대한 전문가를 초청하여 세미나를 진행합니다. 1. 일시: 2022년 12월 7일  13시2. 강의장소: Zoom 온라인 (https://jnu-ac-kr.zoom.us/j/81940734740)3. 연사: 강신진 교수님(홍익대학교 게임학부), 전 NCSoft 차장4. 주제: MMORPG 기획 및 개발 프로세스 소개  -국내외 게임 및 MMORPG 동향  -MMORPG의 일반적인 개발 프로세스를 소개  -게임 산업계 진입에 필요한 기획/기술",2022-11-25 09:51:45.0
지능실감미디어융합전공,[행사안내]메타버스 전문가 초청 특강(6차)-MBC VR휴먼다큐  너를 만났다3  기획 및 제작과정,https://media.jnu.ac.kr/bbs/media/2762/830272/artclView.do,"AI융합대학 지능실감미디어융합전공과 소프트웨어중심대학사업단은 최근 주목을 받고 있는 메타버스에 대한 전문가를 초청하여 세미나를 진행합니다.  1. 일시: 2022. 11. 2.(수) 13:00 ~ 14:00(60분 소요 예정) 2. 장소:  https://jnu-ac-kr.zoom.us/j/85181741340 3. 연사: 이승환 본부장, (주)로커스 4. 주제: MBC VR휴먼다큐 '너를 만났다3' 기획 및 제작과정 -가상현실 기반의 휴먼 다큐 기획 배경 -VR휴먼 다큐 '너를 만났다3' 기획 및 제작 과정 -VR 휴먼 다큐의",2022-10-20 11:29:25.0
지능실감미디어융합전공,메타버스 전문가 초청 특강(5차)-인터렉티브 버추얼 휴먼,https://media.jnu.ac.kr/bbs/media/2762/828883/artclView.do,"AI융합대학 지능실감미디어융합전공과 소프트웨어중심대학사업단은 최근 주목을 받고 있는 메타버스에 대한 전문가를 초청하여 세미나를 진행합니다. 1. 일시: 2022. 10. 5.(수) 13:00 ~ 14:00(60분 소요 예정)2. 장소: Zoom-https://jnu-ac-kr.zoom.us/j/819636188393. 연사: 김강수 박사, University of Calgary(Canada)4. 주제: 메타버스와 확장현실에서의 인터렉티브 버추얼 휴먼-메타버스에서의 현실과 가상현실의 특징-인터렉티브 버추얼휴먼(아바타)에 대한 최근 연",2022-09-29 10:06:27.0
